kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:21.752+08:00,4.306,31.42301299999417,8.955,1040822227,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.783+08:00,4.336,30.186662000005526,49.508,1040871735,1667,0,active,1.35,,,,,0,,
failsafe_flags,2026-08-07T14:58:21.813+08:00,4.366,,,1041008246,1667,0,active,1.35,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:21.843+08:00,4.396,60.41397099988899,18.004,1040889739,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.874+08:00,4.427,30.294068000102925,58.558,1040948297,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.905+08:00,4.458,31.189702999881774,45.008,1040993305,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.935+08:00,4.488,30.55579800002306,8.954,1041002259,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.966+08:00,4.519,30.76039999996283,18.003,1041020262,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.996+08:00,4.549,30.331832999991093,9.002,1041029264,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:22.027+08:00,4.580,30.253999000024123,31.553,1041060817,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:22.057+08:00,4.611,30.93271000011555,8.954,1041069771,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:22.088+08:00,4.641,30.450599999994665,13.55,1041083321,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:22.119+08:00,4.671,30.21348299989768,8.955,1041092276,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:22.150+08:00,4.703,31.43526999997448,27.004,1041119280,1667,0,active,1.35,,,,,0,,
