path,lfs_sha256,declared_size_bytes,filename_year
docs/raw/captures/ULG/log_55_2026-7-6-16-20-00.ulg,be82c5213564f4cd04bc908a18cc053c5c625d6f3b27a39ef189fabf99b3ce3f,375654,2026
docs/raw/captures/ULG/log_56_2026-7-6-16-22-06.ulg,9be47c86d4ebb5e4d110334feb21006ea408c47ea9d8b6e7a3e612db48a3d198,214105,2026
docs/raw/captures/ULG/log_57_2026-7-6-16-23-40.ulg,c927aaabf0b237b8e83f1b7e35d49c6032b49b804da8306c806e08296f48279c,518963,2026
docs/raw/captures/ULG/log_58_2026-7-6-16-24-40.ulg,19755e824f92f6101a9058c9b2f1402f678dac7923ed0d751dc9bc1830ad582b,180598,2026
docs/raw/captures/ULG/log_59_2026-7-6-16-24-42.ulg,308eedfca4687ac9042d3580c130cbac4515d091de86359abc5242c19132c1e6,171961,2026
docs/raw/captures/ULG/log_5_2024-8-8-15-01-02.ulg,25643c51e8f55ca4e466c97f3d2f7a30c0b2c08f173b6e41515c9a0b568269d6,10597540,2024
docs/raw/captures/ULG/log_60_2026-7-6-16-24-50.ulg,dcbb08ac47636a899b066656665d1a4f72a1673feb77bf7fa8a65f5f4504ff59,238591,2026
docs/raw/captures/ULG/log_61_2026-7-6-16-25-32.ulg,3ad59fc572f8690561a3903d817e10e04dc1134206e94f2779ed63ccdd39923a,366595,2026
docs/raw/captures/ULG/log_62_2026-7-6-16-28-12.ulg,f82a0eac4d2aae4154dae129aee5d022c69c377ddf0be1e3794afd38c0a3a560,602865,2026
docs/raw/captures/ULG/log_63_2026-7-6-16-28-34.ulg,edb9d91f87513c418b1ecf6fe518a9548204b8b5f7cb758deaaef67f75683283,235478,2026
docs/raw/captures/ULG/log_64_2026-7-6-16-30-32.ulg,c9b377d029e0f67ea9d71eb371fd549aebd15553009b10018523495e2739de7f,524178,2026
docs/raw/captures/ULG/log_65_2026-7-6-16-30-44.ulg,fe3b1811f6d74ace22e3d2fde60b92f3ffaba36b74f9defedfe6df9bc4b41b4d,263444,2026
docs/raw/captures/ULG/log_66_2026-7-6-16-30-58.ulg,3d2ee27dee45e2e6be6884a9e0a812e955db7a76498ae5df1d336957317705e2,522520,2026
docs/raw/captures/ULG/log_67_2026-7-6-16-32-34.ulg,aedf850c788fba515ec1ad215512bc1cd1c7734ed9a32720e9d03df11bc3dc10,436506,2026
docs/raw/captures/ULG/log_68_2026-7-6-16-37-40.ulg,66921e89976fb7c9ff4d80f95221d0a40f301e9019e380dc3d837b6998d806ce,175807,2026
docs/raw/captures/ULG/log_69_2026-7-6-16-37-52.ulg,1db73707304bf53d5a2ed9ec4bde6e4848194c42346bbdcdec915785f90622d9,327454,2026
docs/raw/captures/ULG/log_6_2024-8-8-15-11-48.ulg,484598c53d239e4d6f00c102a720d041647f5e052181ef6e76aa0ad781de86c3,417500,2024
docs/raw/captures/ULG/log_70_2026-7-6-16-37-58.ulg,274bcb4fa315ba4a3ae75baeea519dcacbfbf78f04087051fce327580eab695e,178684,2026
docs/raw/captures/ULG/log_71_2026-7-6-16-38-14.ulg,25c63af64b11c1f475857c9d90a189f1f16a63ff232e9537b47b142845db62b4,314439,2026
docs/raw/captures/ULG/log_72_2026-7-7-15-31-46.ulg,e5fdb8ec7aca65e5598a29668d783bf7f97e929223a3354e4a6269ed83fa228f,168568,2026
docs/raw/captures/ULG/log_73_2026-7-7-15-32-24.ulg,a692a433103bfe3adf4591b5865381ce4060f9e0b53760715fdc118ab1c17cdd,646605,2026
docs/raw/captures/ULG/log_74_2026-7-7-15-35-00.ulg,4cd31b37f335e774cbca1ffadf1228816eef9a94d5ccbbe0d32c7cb7ea487874,2122720,2026
docs/raw/captures/ULG/log_75_2026-7-7-15-37-44.ulg,20fe0695138572708f38f87896693f4af6bbb8885a60155c05dded0611959c45,534292,2026
docs/raw/captures/ULG/log_76_2026-7-7-15-39-02.ulg,5b43e0306495710dfb05326db3cd010b2261e415f00cc3bf4f2ee173e1c579f1,2051455,2026
docs/raw/captures/ULG/log_77_2026-7-7-15-41-40.ulg,38f1e184101c777ecacd1103b425f6d52728f3692294667eb73224b759448bc9,164706,2026
