sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
364,1671712493022,36567.374,102.441,1787198841892240,reliable,1,1,15,15,0
365,1671810715170,36665.596,98.222,1787198841990473,reliable,1,1,15,15,0
366,1671913427739,36768.309,102.713,1787198842093180,reliable,1,1,15,15,0
367,1672010676770,36865.558,97.249,1787198842190433,reliable,1,1,15,15,0
368,1672114350423,36969.231,103.674,1787198842294104,reliable,1,1,15,15,0
369,1672209858198,37064.739,95.508,1787198842389618,reliable,1,1,15,15,0
370,1672312603441,37167.484,102.745,1787198842492359,reliable,1,1,15,15,0
371,1672408597951,37263.479,95.995,1787198842588346,reliable,1,1,15,15,0
372,1672511479144,37366.360,102.881,1787198842691224,reliable,1,1,15,15,0
373,1672608878750,37463.760,97.400,1787198842788633,reliable,1,1,15,15,0
374,1672713106537,37567.988,104.228,1787198842892894,reliable,1,1,15,15,0
375,1672810335630,37665.217,97.229,1787198842990087,reliable,1,1,15,15,0
376,1672912734505,37767.615,102.399,1787198843092516,reliable,1,1,15,15,0
377,1673009153217,37864.034,96.419,1787198843188904,reliable,1,1,15,15,0
378,1673111771441,37966.652,102.618,1787198843291520,reliable,1,1,15,15,0
379,1673208948339,38063.829,97.177,1787198843388703,reliable,1,1,15,15,0
380,1673312290473,38167.171,103.342,1787198843492045,reliable,1,1,15,15,0
381,1673408691872,38263.573,96.401,1787198843588445,reliable,1,1,15,15,0
382,1673511319857,38366.201,102.628,1787198843691125,reliable,1,1,15,15,0
383,1673608764141,38463.645,97.444,1787198843788519,reliable,1,1,15,15,0
384,1673711482087,38566.363,102.718,1787198843891236,reliable,1,1,15,15,0
385,1673808763858,38663.645,97.282,1787198843988515,reliable,1,1,15,15,0
386,1673910942105,38765.823,102.178,1787198844090686,reliable,1,1,15,15,0
387,1674008730839,38863.612,97.789,1787198844188485,reliable,1,1,15,15,0
388,1674111782354,38966.663,103.052,1787198844291536,reliable,1,1,15,15,0
389,1674210007323,39064.888,98.225,1787198844389758,reliable,1,1,15,15,0
390,1674313035700,39167.917,103.028,1787198844492781,reliable,1,1,15,15,0
