sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
611,2270428297584,61507.093,92.074,1787194119474543,reliable,1,1,15,15,0
612,2270534210656,61613.006,105.913,1787194119580470,reliable,1,1,15,15,0
613,2270627368384,61706.164,93.158,1787194119673608,reliable,1,1,15,15,0
614,2270731527518,61810.323,104.159,1787194119777767,reliable,1,1,15,15,0
615,2270827414205,61906.210,95.887,1787194119873825,reliable,1,1,15,15,0
616,2270935500338,62014.296,108.086,1787194119981738,reliable,1,1,15,15,0
617,2271029378129,62108.174,93.878,1787194120075638,reliable,1,1,15,15,0
618,2271138878724,62217.674,109.501,1787194120185117,reliable,1,1,15,15,0
619,2271225737853,62304.534,86.859,1787194120271980,reliable,1,1,15,15,0
620,2271332104863,62410.901,106.367,1787194120378356,reliable,1,1,15,15,0
621,2271425366657,62504.162,93.262,1787194120471608,reliable,1,1,15,15,0
622,2271531467766,62610.264,106.101,1787194120577930,reliable,1,1,15,15,0
623,2271627284782,62706.081,95.817,1787194120673523,reliable,1,1,15,15,0
624,2271732769030,62811.565,105.484,1787194120779010,reliable,1,1,15,15,0
625,2271826650213,62905.446,93.881,1787194120872885,reliable,1,1,15,15,0
626,2271935264143,63014.060,108.614,1787194120981515,reliable,1,1,15,15,0
627,2272027978453,63106.774,92.714,1787194121074288,reliable,1,1,15,15,0
628,2272132944498,63211.740,104.966,1787194121179185,reliable,1,1,15,15,0
629,2272229882107,63308.678,96.938,1787194121276130,reliable,1,1,15,15,0
630,2272343132984,63421.929,113.251,1787194121389380,reliable,1,1,15,15,0
631,2272427393462,63506.189,84.260,1787194121473632,reliable,1,1,15,15,0
632,2272535080176,63613.876,107.687,1787194121581319,reliable,1,1,15,15,0
633,2272629031439,63707.827,93.951,1787194121675282,reliable,1,1,15,15,0
634,2272733582937,63812.379,104.551,1787194121779826,reliable,1,1,15,15,0
635,2272827750850,63906.547,94.168,1787194121873999,reliable,1,1,15,15,0
636,2272935481695,64014.277,107.731,1787194121981724,reliable,1,1,15,15,0
637,2273027309369,64106.105,91.828,1787194122073552,reliable,1,1,15,15,0
638,2273134006370,64212.802,106.697,1787194122180246,reliable,1,1,15,15,0
639,2273226707812,64305.504,92.701,1787194122272963,reliable,1,1,15,15,0
640,2273334774221,64413.570,108.066,1787194122381016,reliable,1,1,15,15,0
641,2273427192546,64505.988,92.418,1787194122473439,reliable,1,1,15,15,0
642,2273532478250,64611.274,105.286,1787194122578714,reliable,1,1,15,15,0
643,2273629404623,64708.200,96.926,1787194122675777,reliable,1,1,15,15,0
644,2273739322670,64818.118,109.918,1787194122785567,reliable,1,1,15,15,0
645,2273827333014,64906.129,88.010,1787194122873684,reliable,1,1,15,15,0
646,2273939733992,65018.530,112.401,1787194122985980,reliable,1,1,15,15,0
647,2274026542359,65105.338,86.808,1787194123072779,reliable,1,1,15,15,0
648,2274131517005,65210.313,104.975,1787194123177756,reliable,1,1,15,15,0
649,2274227152851,65305.949,95.636,1787194123273394,reliable,1,1,15,15,0
650,2274335427842,65414.224,108.275,1787194123381667,reliable,1,1,15,15,0
651,2274426249066,65505.045,90.821,1787194123472500,reliable,1,1,15,15,0
652,2274531657588,65610.453,105.409,1787194123577901,reliable,1,1,15,15,0
653,2274626326670,65705.122,94.669,1787194123672569,reliable,1,1,15,15,0
654,2274730627653,65809.423,104.301,1787194123776868,reliable,1,1,15,15,0
655,2274826478901,65905.275,95.851,1787194123872719,reliable,1,1,15,15,0
656,2274931314853,66010.111,104.836,1787194123977583,reliable,1,1,15,15,0
657,2275026800354,66105.596,95.486,1787194124073072,reliable,1,1,15,15,0
658,2275137235410,66216.031,110.435,1787194124183479,reliable,1,1,15,15,0
659,2275227338869,66306.135,90.103,1787194124273580,reliable,1,1,15,15,0
660,2275337106501,66415.902,109.768,1787194124383362,reliable,1,1,15,15,0
661,2275426053363,66504.849,88.947,1787194124472295,reliable,1,1,15,15,0
662,2275535128900,66613.925,109.076,1787194124581385,reliable,1,1,15,15,0
663,2275626017708,66704.813,90.889,1787194124672292,reliable,1,1,15,15,0
664,2275736522334,66815.318,110.505,1787194124782774,reliable,1,1,15,15,0
665,2275829092115,66907.888,92.570,1787194124875345,reliable,1,1,15,15,0
666,2275939782158,67018.578,110.690,1787194124986030,reliable,1,1,15,15,0
667,2276029082698,67107.878,89.301,1787194125075326,reliable,1,1,15,15,0
668,2276133687177,67212.483,104.604,1787194125179978,reliable,1,1,15,15,0
669,2276228696044,67307.492,95.009,1787194125274940,reliable,1,1,15,15,0
670,2276338715172,67417.511,110.019,1787194125384960,reliable,1,1,15,15,0
671,2276422873842,67501.670,84.159,1787194125469115,reliable,1,1,15,15,0
672,2276535324187,67614.120,112.450,1787194125581569,reliable,1,1,15,15,0
673,2276634517983,67713.314,99.194,1787194125680779,reliable,1,1,15,15,0
674,2276741019445,67819.815,106.501,1787194125787270,reliable,1,1,15,15,0
675,2276827309189,67906.105,86.290,1787194125873580,reliable,1,1,15,15,0
676,2276935123992,68013.920,107.815,1787194125981386,reliable,1,1,15,15,0
677,2277027131790,68105.928,92.008,1787194126073371,reliable,1,1,15,15,0
678,2277133216397,68212.012,106.085,1787194126179456,reliable,1,1,15,15,0
679,2277227424552,68306.220,94.208,1787194126273661,reliable,1,1,15,15,0
680,2277333615980,68412.412,106.191,1787194126379866,reliable,1,1,15,15,0
681,2277427159048,68505.955,93.543,1787194126473407,reliable,1,1,15,15,0
682,2277537009141,68615.805,109.850,1787194126583504,reliable,1,1,15,15,0
683,2277627560871,68706.357,90.552,1787194126673803,reliable,1,1,15,15,0
684,2277734306341,68813.102,106.745,1787194126780548,reliable,1,1,15,15,0
685,2277828067659,68906.863,93.761,1787194126874317,reliable,1,1,15,15,0
686,2277938158755,69016.955,110.091,1787194126984401,reliable,1,1,15,15,0
687,2278023073103,69101.869,84.914,1787194127069316,reliable,1,1,15,15,0
688,2278134574340,69213.370,111.501,1787194127180817,reliable,1,1,15,15,0
689,2278228165120,69306.961,93.591,1787194127274406,reliable,1,1,15,15,0
