sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
290,1875403708866,29148.148,104.485,1786679001225153,reliable,1,1,4,4,0
291,1875518724376,29263.164,115.016,1786679001340141,reliable,1,1,4,4,0
292,1875602085647,29346.525,83.361,1786679001423498,reliable,1,1,4,4,0
293,1875699680358,29444.120,97.595,1786679001521091,reliable,1,1,4,4,0
294,1875803664792,29548.104,103.984,1786679001625099,reliable,1,1,4,4,0
295,1875899490944,29643.930,95.826,1786679001720923,reliable,1,1,4,4,0
296,1876003508210,29747.948,104.017,1786679001824917,reliable,1,1,4,4,0
297,1876118719754,29863.159,115.212,1786679001940138,reliable,1,1,4,4,0
298,1876202286897,29946.726,83.567,1786679002023699,reliable,1,1,4,4,0
299,1876319029424,30063.469,116.743,1786679002140476,reliable,1,1,4,4,0
300,1876402098244,30146.538,83.069,1786679002223513,reliable,1,1,4,4,0
301,1876499418980,30243.859,97.321,1786679002320834,reliable,1,1,4,4,0
302,1876608345398,30352.785,108.926,1786679002429757,reliable,1,1,4,4,0
303,1876719204924,30463.644,110.860,1786679002540648,reliable,1,1,4,4,0
304,1876802359248,30546.799,83.154,1786679002623773,reliable,1,1,4,4,0
305,1876919582037,30664.022,117.223,1786679002740998,reliable,1,1,4,4,0
306,1877003120429,30747.560,83.538,1786679002824527,reliable,1,1,4,4,0
307,1877119305863,30863.745,116.185,1786679002940719,reliable,1,1,4,4,0
308,1877202722444,30947.162,83.417,1786679003024137,reliable,1,1,4,4,0
309,1877318814109,31063.254,116.092,1786679003140225,reliable,1,1,4,4,0
310,1877403092924,31147.532,84.279,1786679003224503,reliable,1,1,4,4,0
311,1877519322767,31263.762,116.230,1786679003340748,reliable,1,1,4,4,0
312,1877603238762,31347.678,83.916,1786679003424649,reliable,1,1,4,4,0
313,1877708699371,31453.139,105.461,1786679003530110,reliable,1,1,4,4,0
314,1877815647419,31560.087,106.948,1786679003637062,reliable,1,1,4,4,0
315,1877904187239,31648.627,88.540,1786679003725595,reliable,1,1,4,4,0
316,1878007824436,31752.264,103.637,1786679003829265,reliable,1,1,4,4,0
317,1878118816975,31863.257,110.993,1786679003940232,reliable,1,1,4,4,0
318,1878201636844,31946.076,82.820,1786679004023041,reliable,1,1,4,4,0
319,1878299239393,32043.679,97.603,1786679004120647,reliable,1,1,4,4,0
320,1878403296960,32147.736,104.058,1786679004224706,reliable,1,1,4,4,0
321,1878519089188,32263.529,115.792,1786679004340506,reliable,1,1,4,4,0
322,1878602189652,32346.629,83.100,1786679004423599,reliable,1,1,4,4,0
323,1878700391089,32444.831,98.201,1786679004521802,reliable,1,1,4,4,0
324,1878806631400,32551.071,106.240,1786679004628043,reliable,1,1,4,4,0
325,1878918855492,32663.295,112.224,1786679004740290,reliable,1,1,4,4,0
326,1879002125302,32746.565,83.270,1786679004823541,reliable,1,1,4,4,0
327,1879118464321,32862.904,116.339,1786679004939881,reliable,1,1,4,4,0
328,1879201588094,32946.028,83.124,1786679005022995,reliable,1,1,4,4,0
329,1879318917098,33063.357,117.329,1786679005140326,reliable,1,1,4,4,0
330,1879402062776,33146.502,83.146,1786679005223587,reliable,1,1,4,4,0
331,1879519122688,33263.562,117.060,1786679005340536,reliable,1,1,4,4,0
332,1879602159597,33346.599,83.037,1786679005423568,reliable,1,1,4,4,0
333,1879718421964,33462.861,116.262,1786679005539833,reliable,1,1,4,4,0
334,1879801790205,33546.230,83.368,1786679005623204,reliable,1,1,4,4,0
