sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
94,4487114148639,9578.575,83.505,1786609853945396,reliable,1,1,4,4,0
95,4487230201490,9694.627,116.053,1786609854061385,reliable,1,1,4,4,0
96,4487313250616,9777.677,83.049,1786609854144439,reliable,1,1,4,4,0
97,4487430184545,9894.610,116.934,1786609854261367,reliable,1,1,4,4,0
98,4487513287319,9977.713,83.103,1786609854344476,reliable,1,1,4,4,0
99,4487629770310,10094.196,116.483,1786609854460954,reliable,1,1,4,4,0
100,4487712923821,10177.350,83.154,1786609854544108,reliable,1,1,4,4,0
101,4487830058907,10294.485,117.135,1786609854661242,reliable,1,1,4,4,0
102,4487913142807,10377.569,83.084,1786609854744324,reliable,1,1,4,4,0
103,4488030029103,10494.455,116.886,1786609854861217,reliable,1,1,4,4,0
104,4488114035386,10578.461,84.006,1786609854945218,reliable,1,1,4,4,0
105,4488228570967,10692.997,114.536,1786609855059761,reliable,1,1,4,4,0
106,4488312859424,10777.285,84.288,1786609855144047,reliable,1,1,4,4,0
107,4488428803714,10893.230,115.944,1786609855259992,reliable,1,1,4,4,0
108,4488511789001,10976.215,82.985,1786609855342979,reliable,1,1,4,4,0
109,4488630166562,11094.593,118.378,1786609855461348,reliable,1,1,4,4,0
110,4488713319256,11177.745,83.153,1786609855544500,reliable,1,1,4,4,0
111,4488828679909,11293.106,115.361,1786609855659865,reliable,1,1,4,4,0
112,4488911986574,11376.413,83.307,1786609855743220,reliable,1,1,4,4,0
113,4489018184443,11482.610,106.198,1786609855849371,reliable,1,1,4,4,0
114,4489122219779,11586.646,104.035,1786609855953408,reliable,1,1,4,4,0
115,4489229064258,11693.490,106.844,1786609856060250,reliable,1,1,4,4,0
116,4489312781249,11777.207,83.717,1786609856143965,reliable,1,1,4,4,0
117,4489428703292,11893.129,115.922,1786609856259891,reliable,1,1,4,4,0
118,4489511840740,11976.267,83.137,1786609856343021,reliable,1,1,4,4,0
119,4489629468686,12093.895,117.628,1786609856460656,reliable,1,1,4,4,0
120,4489713939410,12178.365,84.471,1786609856545190,reliable,1,1,4,4,0
121,4489830240703,12294.667,116.301,1786609856661425,reliable,1,1,4,4,0
122,4489913218645,12377.645,82.978,1786609856744404,reliable,1,1,4,4,0
123,4490029004888,12493.431,115.786,1786609856860195,reliable,1,1,4,4,0
124,4490111798212,12576.224,82.793,1786609856942986,reliable,1,1,4,4,0
125,4490229696308,12694.122,117.898,1786609857060884,reliable,1,1,4,4,0
126,4490312939370,12777.365,83.243,1786609857144118,reliable,1,1,4,4,0
127,4490417720139,12882.146,104.781,1786609857248913,reliable,1,1,4,4,0
128,4490521512330,12985.938,103.792,1786609857352703,reliable,1,1,4,4,0
129,4490629033906,13093.460,107.522,1786609857460208,reliable,1,1,4,4,0
130,4490711710028,13176.136,82.676,1786609857542891,reliable,1,1,4,4,0
131,4490830136227,13294.562,118.426,1786609857661322,reliable,1,1,4,4,0
132,4490914307181,13378.733,84.171,1786609857745490,reliable,1,1,4,4,0
133,4491029171242,13493.597,114.864,1786609857860359,reliable,1,1,4,4,0
134,4491112043787,13576.470,82.873,1786609857943234,reliable,1,1,4,4,0
135,4491230132155,13694.558,118.088,1786609858061311,reliable,1,1,4,4,0
136,4491313441481,13777.867,83.309,1786609858144619,reliable,1,1,4,4,0
137,4491427542893,13891.969,114.101,1786609858258726,reliable,1,1,4,4,0
138,4491530980007,13995.406,103.437,1786609858362167,reliable,1,1,4,4,0
139,4491628945381,14093.371,97.965,1786609858460129,reliable,1,1,4,4,0
140,4491712235416,14176.661,83.290,1786609858543420,reliable,1,1,4,4,0
141,4491828559838,14292.986,116.324,1786609858659749,reliable,1,1,4,4,0
142,4491912090733,14376.517,83.531,1786609858743282,reliable,1,1,4,4,0
143,4492028479936,14492.906,116.389,1786609858859667,reliable,1,1,4,4,0
144,4492111429237,14575.855,82.949,1786609858942619,reliable,1,1,4,4,0
145,4492229704225,14694.130,118.275,1786609859060887,reliable,1,1,4,4,0
